id,lat,lng,horario,tipo,direccion
224,-34.6708,-58.5376, 09:00 a 20:00 hs,Centro de Carga,AV. GUEMEZ 530
225,-34.7219,-58.55393, 10:00 a 19:00 hs,Centro de Carga,LAS FLORES 295
226,-34.7208,-58.56977, 05:00 a 18:00 hs,Centro de Carga,AV. CRISTIANIA 5872
227,-34.68332,-58.50261, 08:00 a 20:00 hs,Centro de Carga,GENERAL PEDERNERA 1108
228,-34.67882,-58.6062, 09:00 a 21:00 hs,Centro de Carga,CORONEL DOMINGUEZ 25
229,-34.57941,-58.53713, 08:00 a 20:00 hs,Centro de Carga,48 MORENO 3879
230,-34.68813,-58.36941, 09:00 a 18:00 hs,Centro de Carga,DE LA SERNA 1421
231,-34.81276,-58.30215, 09:00 a 18:00 hs,Centro de Carga,CALLE 542 1042
232,-34.76102,-58.62181, 05:00 a 20:00 hs,Centro de Carga,SENGUEL 5950
233,-34.78457,-58.62591, 04:00 a 11:00 hs,Centro de Carga,RUTA 3 32000
234,-34.73388,-58.57784, 04:00 a 12:00 hs,Centro de Carga,RUTA 3 KM 24000
235,-34.91382,-58.37684, 08:30 a 20:30 hs,Centro de Carga,JUAN MANUEL DE ROSAS 19806
236,-34.81088,-58.63594, 06:00 a 21:00 hs,Centro de Carga,JUAN MANUEL DE ROSAS 19806
237,-34.76025,-58.61621, 06:00 a 12:00 hs,Centro de Carga,BRIG. GENERAL JUAN MANUEL DE ROSAS 15698
238,-34.80982,-58.63339, 08:00 a 20:00 hs,Centro de Carga,JACINTO ESTIVAO	 2174
239,-34.81017,-58.63629, 00:00 a 00:00 hs,Centro de Carga,RUTA 3 KM 35
240,-34.75982,-58.66066, 00:00 a 00:00 hs,Centro de Carga,ROLDAN 2595
241,-34.76048,-58.61668, 06:00 a 11:00 hs,Centro de Carga,RUTA 3 29000
242,-34.72684,-58.52969, 09:00 a 19:00 hs,Centro de Carga,GUEMES 4155
243,-34.64021,-58.54116, 10:00 a 18:00 hs,Centro de Carga,AV RIVADAVIA 12580
244,-34.54246,-58.47313, 10:00 a 18:00 hs,Centro de Carga,MONROE 3390
245,-34.58577,-58.50087, 10:00 a 18:00 hs,Centro de Carga,AV FEDERICO LACROZE 2476
246,-34.62773,-58.38151, 10:00 a 18:00 hs,Centro de Carga,AV BRASIL 1153
247,-34.49409,-58.63137, 10:00 a 18:00 hs,Centro de Carga,AV PTE M T DE ALVEAR 1539
248,-34.63045,-58.57661, 10:00 a 18:00 hs,Centro de Carga,ING GUILLERMO MARCONI 6595
249,-34.86193,-57.90151, 09:00 a 19:00 hs,Centro de Carga,NTRA SRA DE LA MERCED 110
250,-34.80996,-58.27614, 10:00 a 18:00 hs,Centro de Carga,ESPAÑA 3290
251,-34.77327,-58.26742, 10:00 a 18:00 hs,Centro de Carga,AV CALCHAQUI 6529
252,-34.62872,-58.46436, 10:00 a 18:00 hs,Centro de Carga,GRAL J G DE ARTIGAS 40
253,-34.53194,-58.50005, 10:00 a 18:00 hs,Centro de Carga,AV GRAL SAN MARTIN 2849
254,-34.59614,-58.38709, 10:00 a 18:00 hs,Centro de Carga,URUGUAY 1069
255,-34.60043,-58.38808, 10:00 a 18:00 hs,Centro de Carga,AV PUEYRREDON 1352
256,-34.72635,-58.39563, 10:00 a 18:00 hs,Centro de Carga,AV PTE H YRIGOYEN 6133
257,-34.59875,-58.37628, 09:00 a 19:00 hs,Centro de Carga,AV CORDOBA 663
258,-34.59525,-58.38064, 10:00 a 18:00 hs,Centro de Carga,AV SANTA FE 945
259,-34.59239,-58.37587, 10:00 a 18:00 hs,Centro de Carga,AV DEL LIBERTADOR 132
260,-34.58068,-58.37437, 09:00 a 16:00 hs,Centro de Carga,AV ANTARTIDA ARGENTINA 1900
261,-34.55552,-58.48582, 10:00 a 18:00 hs,Centro de Carga,PLAZA 3855
262,-34.94158,-57.98931, 09:00 a 17:00 hs,Centro de Carga,AV 44 2231
263,-34.587,-58.39893, 10:00 a 18:00 hs,Centro de Carga,AV SAN JUAN 3001
264,-34.43783,-58.56077, 10:00 a 18:00 hs,Centro de Carga,CONSTITUCION 555
265,-34.77863,-58.31443, 10:00 a 18:00 hs,Centro de Carga,CALLE 897 4115
266,-34.45318,-58.65014, 08:00 a 21:00 hs,Centro de Carga,AV DE LOS CONSTITUYENTES 1210
